Reference Number,Title of referral,Notification from EPBC Act,Date of notice,PDF Attachments,Non PDF Attachments,Download,Download Folder,PDFs Combined
2021/8877,"Winchelsea Mining Pty Ltd/Mining/, Winchelsea Island, Anindilyakwa/Northern Territory/Winchelsea Island Manganese Mine Project, NT",Invitation for Public Comment on Referral,21/05/2021,Yes,No,Success,20218877_21052021_wmpl_ifpcor,Yes
2019/8425,"AGL ENERGY LIMITED/Energy Generation and Supply (non-renewable)/Lots 2 and 3 DP 1043561, Lot 4 DP 1043561, Lots 1203 and 1202 DP 1229590 and Lot 202 DP 1173564/New South Wales/Newcastle Power Station Project, Tomago, NSW",Final recommendation report completed,21/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8516,"WEIYA DEVELOPMENT PTY LIMITED/Residential Development/Lot 801 on SP157194, Lot 1 and Lot 2 on RP22251/Queensland/Residential Development, Collingwood Park, Ipswich, Qld",Notification of Publication of Preliminary Documentation: Invitation to Comment,21/05/2021,Yes,No,Success,20198516_21052021_wdpl_nopopditc,Yes
2021/8910,"Mt Fox Energy Park Pty Ltd/Energy Generation and Supply (renewable)/, Mount Fox/Queensland/Mt Fox Energy Park Wind Farm, QLD",Invitation for Public Comment on Referral,20/05/2021,Yes,No,Success,20218910_20052021_mfeppl_ifpcor,Yes
2021/8897,"Atlas Iron Pty Ltd/Mining/Marble Bar-Nullagine Road, Nullagine/Western Australia/McPhee Iron Ore Project",Decision on Assessment Approach: Accredited Assessment Process,20/05/2021,Yes,No,Success,20218897_20052021_aipl_doaaaap,Yes
2021/8920,"Yancoal Australia Ltd/Mining/Dysart Middlemount Road, Middlemount/Queensland/Middlemount Coal Mine - Southern Open Cut Extension Project, QLD",Invitation for Public Comment on Referral,20/05/2021,Yes,No,Success,20218920_20052021_yal_ifpcor,Yes
2019/8513,GB ENERGY (VIC) PTY LIMITED/Energy Generation and Supply (non-renewable)/multiple - See Attachment 1.7.2/Victoria/Golden Beach Gas Project,Decision on approval of action: Approved with conditions,20/05/2021,Yes,No,Success,20198513_20052021_gevpl_doaoaawc,Yes
2014/7305,"GULF ALUMINA PTY LTD/Mining/Skardon River, Weipa, Qld/Queensland/Skardon River Bauxite Mining Project, Weipa, QLD",Statement of Reasons: Decision under section 143,20/05/2021,Yes,No,Success,20147305_20052021_gapl_sordus1,Yes
2021/8897,"Atlas Iron Pty Ltd/Mining/Marble Bar-Nullagine Road, Nullagine/Western Australia/McPhee Iron Ore Project",Decision whether action needs approval/Approval Required,20/05/2021,Yes,No,Success,20218897_20052021_aipl_dwanaar,Yes
2015/7538,Metro Mining/Mining/West Cape York/Queensland/Bauxite Hill Mining and Barging Project,Statement of Reasons: Decision under section 143,20/05/2021,Yes,No,Success,20157538_20052021_mm_sordus1,Yes
2021/8948,"The Trustee for Manyana Property Trust/Residential Development/approximately 0.5 km north of the township of Manyana/New South Wales/North Manyana Subdivision, NSW",Invitation for Public Comment on Referral,19/05/2021,Yes,No,Success,20218948_19052021_ttfmpt_ifpcor,Yes
2021/8922,"Sub.Co Pty Ltd/Telecommunications/State, Commonwealth and International waters/Commonwealth Marine/Oman Australia Cable Installation, WA",Decision whether action needs approval/Approval Not Required,19/05/2021,Yes,No,Success,20218922_19052021_spl_dwanaanr,Yes
2021/8892,"Hastings Technology Metals Ltd/Mining/Wanna Station, Cobra-Gifford Creek Road, West Lyons River/Western Australia/Yangibana Expansion 1, WA",Decision on Assessment Approach: Accredited Assessment Process,18/05/2021,Yes,No,Success,20218892_18052021_html_doaaaap,Yes
2020/8849,"Lendlease Communities (Shoreline) Pty Ltd/Waste Management (sewerage)/Longland Road to Serpentine Creek Road, Redland Bay/Queensland/Southern Redland Bay Wastewater Treatment Plant",Suspension of Referral Decision Timeframe Period,18/05/2021,Yes,No,Success,20208849_18052021_lcspl_sordtp,Yes
2021/8905,"Epuron Projects Pty Ltd/Energy Generation and Supply (renewable)/Between Wongwibinda, Kilcoy and Guyra Roads, Armidale/New South Wales/Doughboy Wind Farm, NSW",Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,18/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8905,"Epuron Projects Pty Ltd/Energy Generation and Supply (renewable)/Between Wongwibinda, Kilcoy and Guyra Roads, Armidale/New South Wales/Doughboy Wind Farm, NSW",Decision whether action needs approval/Approval Required,18/05/2021,Yes,No,Success,20218905_18052021_eppl_dwanaar,Yes
2021/8913,Deerubbin Local Aboriginal Land Council/Mining/Maroota/New South Wales/Sand Extraction Project Maroota 60 km north of Sydney CBD,Decision whether action needs approval/Approval Required,18/05/2021,Yes,No,Success,20218913_18052021_dlalc_dwanaar,Yes
2019/8520,"Department of Transport/Transport - Water/Port Hedland/Western Australia/Port Hedland Spoilbank Marina, WA",Notification of Transfer of Approval to Pilbara Ports Authority,18/05/2021,Yes,No,Success,20198520_18052021_dot_notoatppa,Yes
2021/8913,Deerubbin Local Aboriginal Land Council/Mining/Maroota/New South Wales/Sand Extraction Project Maroota 60 km north of Sydney CBD,Decision on Assessment Approach: Not Applicable; Bilateral Agreement Applies,18/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2021/8937,"Gunyar Pty Limited/Commercial Development/, CSIRO Forestry Precinct, Banks Street, Yarralumla/Australian Capital Territory/Forestry Place Redevelopment of CSIRO Yarralumla, Block 7 Section 4 Yarralumla, ACT",Invitation for Public Comment on Referral,17/05/2021,Yes,No,Success,20218937_17052021_gpl_ifpcor,Yes
2021/8896,"Tasmanian Advanced Minerals/Mining/Chatlee Rd, Togari/Tasmania/Tasmanian Advanced Minerals - Hawkes Creek silica mine expansion",Decision whether action needs approval/Approval Not Required - particular manner,17/05/2021,Yes,No,Success,20218896_17052021_tam_dwanaanrpm,Yes
2020/8792,"Matt Mahony/Agriculture and Forestry/130, Goonans Rd, Bookaar/Victoria/Matt Mahony Irrigation Upgrade, VIC",Decision whether action needs approval/Approval Not Required - particular manner,17/05/2021,Yes,No,Success,20208792_17052021_mm_dwanaanrpm,Yes
2019/8530,"HOLCIM (AUSTRALIA) PTY LTD/Mining/75 Potters Road, Ondit, VIC, 3249/Victoria/Holcim Colac Quarry Expansion- Stage 5 and Stage 6",Final recommendation report completed,17/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2020/8734,WinterbourneWind Pty Ltd/Energy Generation and Supply (renewable)/Walcha Plateau/New South Wales/Winterbourne Wind Farm,Notification of Variation to Proposal,14/05/2021,Yes,No,Success,20208734_14052021_wpl_novtp,Yes
2021/8943,"Department of Transport/Transport - Land/VicTrack Rail Reserve, McGregor Road, Main Street and Racecourse Road Level crossing, Pakenham/Victoria/Pakenham Level Crossing Removal Project",Invitation for Public Comment on Referral,14/05/2021,Yes,No,Success,20218943_14052021_dot_ifpcor,Yes
2021/8891,"NW Interconnected Power Pty Ltd/Energy Generation and Supply (renewable)/After Mandora Road on Great Northern Highway, Eighty Mile Beach/Western Australia/Asian Renewable Energy Hub Revised Proposal, WA",Invitation for Public Comment on Referral,13/05/2021,Yes,No,Success,20218891_13052021_nippl_ifpcor,Yes
2018/8290,"Lehr Consultants International (Australia) Pty Ltd/Commercial Development/Lot 2 DP229466/New South Wales/Service centre, 6 Honeman Close, Huntingwood, NSW",Final recommendation report completed,13/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2020/8687,"Sydney Metro/Transport - Land/South Western Sydney/New South Wales/Sydney Metro, Western Sydney Airport - St Marys to Elizabeth Drive",Final recommendation report completed,13/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2014/7376,"SANTOS NSW EASTERN PTY LTD/Energy Generation and Supply (non-renewable)/approximately 20 and 45kms south of Narrabri/New South Wales/Narrabri Gas Project, approx 20 and 45kms south of Narrabri, NSW",Statement of Reasons: Decision under section 130 and section 133,13/05/2021,Yes,No,Success,20147376_13052021_snepl_sordus1as1,Yes
2020/8637,"Sealark Pty Ltd/Residential Development/Multiple lots, Callala Bay/New South Wales/Callala Bay Residential Development",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,13/05/2021,Yes,No,Success,20208637_13052021_spl_apneotiwtmadwtaaca,Yes
2021/8919,"South Australian Water Corporation/Water Management and Use/, Playford Highway; Arronmore Rd; How Bay Rd, and Charing Cross Rd/South Australia/KI Water Pipeline Project, SA",Invitation for Public Comment on Referral,13/05/2021,Yes,No,Success,20218919_13052021_sawc_ifpcor,Yes
2020/8702,"Wollongong Coal Limited/Mining/7 Princes Hwy, Corrimal/New South Wales/Russell Vale Colliery Revised Underground Expansion Project",Final recommendation report completed,12/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8529,"MAIN ROADS/Transport - Land/Hale Road, Forrestfield and Welshpool Road, Wattle Grove/Western Australia/Tonkin Highway Grade Separated Interchanges",Notification of Publication of Preliminary Documentation: Invitation to Comment,12/05/2021,Yes,No,Success,20198529_12052021_mr_nopopditc,Yes
2017/7926,"Central Coast Council/Tourism and Recreation/Wilfred Barrett Drive, Magenta, NSW, 2261/New South Wales/Magenta Shared Pathway Stage 2, NSW",Reconsideration of Referral Determination: S78 Reconsideration Decision,11/05/2021,Yes,No,Success,20177926_11052021_ccc_rordsrd,Yes
2017/8066,"Peet Stratton Pty Ltd/Residential Development/Lot 102 Farrall Road, Stratton/Western Australia/Residential development and conservation, Lot 102 Farrall Road, Stratton, WA",Assessment Process Notice: Extension of time in which to make a decision whether to approve a controlled action,11/05/2021,Yes,No,Success,20178066_11052021_pspl_apneotiwtmadwtaaca,Yes
2021/8936,"Water Corporation/Water Management and Use/Road reserve in the Shire of Collie/Western Australia/Water Corporation, Storage and Pipeline, Collie, WA",Invitation for Public Comment on Referral,11/05/2021,Yes,No,Success,20218936_11052021_wc_ifpcor,Yes
2021/8904,"Te Ta Pty Ltd/Residential Development/130 Tully Rd, New Beith/Queensland/130 Tully Road New Beith Residential Development v2",Decision whether action needs approval/Approval Required,10/05/2021,Yes,No,Success,20218904_10052021_ttpl_dwanaar,Yes
2012/6339,Venture Minerals Limited/Mining/West Tullah/Tasmania/DSO Hematite Mine,Letter re condition 13 – Covid-19 temporary measures for staff bus,10/05/2021,Yes,No,Success,20126339_10052021_vml_lrc1–c1tmfsb,No
2021/8911,AUSTRALIAN RAIL TRACK CORPORATION LIMITED/Transport - Land/Between border at Kurumbul and Gowrie/Queensland/Inland Rail Border to Gowrie Geotechnical Investigations,Decision whether action needs approval/Approval Not Required,10/05/2021,Yes,No,Success,20218911_10052021_artcl_dwanaanr,Yes
2021/8904,"Te Ta Pty Ltd/Residential Development/130 Tully Rd, New Beith/Queensland/130 Tully Road New Beith Residential Development v2",Decision on Assessment Approach: Preliminary Documentation,10/05/2021,Yes,No,Success,20218904_10052021_ttpl_doaapd,Yes
2010/5736,ADANI MINING PTY LTD/Mining/Moray Downs Cattle Station 160km North West of Clermont/Queensland/Carmichael Coal Mine and Rail Project,Statement of Reasons: Decision under section 143,10/05/2021,Yes,No,Success,20105736_10052021_ampl_sordus1,Yes
2021/8935,"Commonwealth Scientific and Industrial Research Organisation (CSIRO)/Commonwealth/Banks Street, Yarralumla/Australian Capital Territory/CSIRO Yarralumla-Demolition of Minor Structure, ACT",Invitation for Public Comment on Referral,10/05/2021,Yes,No,Success,20218935_10052021_csairoc_ifpcor,Yes
2021/8909,"MMG Australia Limited/Mining/1km west of Rosebery, Pieman Road, West Coast/Tasmania/South Marionoak Tailings Storage Facility, Rosebery, TAS",Invitation for Public Comment on Referral,10/05/2021,Yes,No,Success,20218909_10052021_mal_ifpcor,Yes
2020/8645,"EMKC AU Industrial 2 Pty Ltd/Commercial Development/Robinsons Road Employment Area South precinct, Truganina/Victoria/489A Robinsons Road Truganina",Notification of Transfer of Approval to EMKC AU Industrial 3 Pty Ltd,08/05/2021,Yes,No,Success,20208645_08052021_eai2pl_notoateai3pl,Yes
2020/8692,Queensland Department of Transport and Main Roads/Transport - Water/Road Reserve and Unallocated State Land/Queensland/Yorkeys Knob Boating Infrastructure Project,Notification of Publication of Final Preliminary Documentation,08/05/2021,Yes,No,Success,20208692_08052021_qdotamr_nopofpd,Yes
2021/8918,AGL Energy Limited/Energy Generation and Supply (non-renewable)/4.5km south-west of Broken Hill/New South Wales/Broken Hill Battery Energy Storage System Project,Decision whether action needs approval/Approval Not Required,07/05/2021,Yes,No,Success,20218918_07052021_ael_dwanaanr,Yes
2021/8914,"Santos TOGA Pty Ltd/Energy Generation and Supply (non-renewable)/Injune Road, Baroondah/Queensland/Fairview Water Release Scheme, 50km east of Injune, QLD",Invitation for Public Comment on Referral,07/05/2021,Yes,No,Success,20218914_07052021_stpl_ifpcor,Yes
2020/8764,"The Public Transport Authority of Western Australia/Transport - Land/26km south-east of Perth, between Armadale and Byford/Western Australia/Byford Rail Extension, Byford, WA",Notification of Variation to Proposal,06/05/2021,Yes,No,Success,20208764_06052021_tptaowa_novtp,Yes
2021/8932,"Department of the Chief Minister and Cabinet/Energy Generation and Supply (renewable)/, Jabiru township, Kakadu, 250km south-east of Darwin/Northern Territory/Jabiru Hybrid Power Station Project, NT",Invitation for Public Comment on Referral,06/05/2021,Yes,No,Success,20218932_06052021_dotcmac_ifpcor,Yes
2020/8837,Rye Park Renewable Energy Pty Ltd/Energy Generation and Supply (renewable)/near Yass/New South Wales/Rye Park Wind Farm,Final recommendation report completed,06/05/2021,No,No,Not Applicable,Not Applicable,Not Applicable
2019/8549,FUTURA RESOURCES LIMITED/Mining/Bowen Basin/Queensland/Fairhill Coal Project,Notification of Publication of Final Public Environment Report,05/05/2021,Yes,No,Success,20198549_05052021_frl_nopofper,Yes
2021/8931,"See Developments Pty Ltd/Mining/Peachey Rd, Luscombe/Queensland/Peachey Road Quarry - Vegetation Clearing - Luscombe, QLD",Invitation for Public Comment on Referral,05/05/2021,Yes,No,Success,20218931_05052021_sdpl_ifpcor,Yes
2021/8933,"QUBE WATTLEUP DEVELOPMENT PTY LTD/Residential Development/387 Wattleup Road, Hammond Park/Western Australia/Residential Development, Wattleup Road, Hammond Park, WA",Invitation for Public Comment on Referral,05/05/2021,Yes,No,Success,20218933_05052021_qwdpl_ifpcor,Yes
2021/8917,"Western Australian Land Authority/Commercial Development/Pederick Road, Neerabup/Western Australia/Neerabup Industrial Area, WA",Decision whether action needs approval/Approval Required,04/05/2021,Yes,No,Success,20218917_04052021_wala_dwanaar,Yes
2020/8854,"European Space Operations Centre/Science and Research/10353 Great Northern Highway, Yarawindah/Western Australia/ESA Deep Space Facility, WA",Decision whether action needs approval/Approval Not Required,04/05/2021,Yes,No,Success,20208854_04052021_esoc_dwanaanr,Yes
2018/8260,"WESTERN REGION WATER CORPORATION/Water Management and Use/Plan CP104323, Lot 20 LP5327, Allot. 19 Sec. A PARISH OF MOORADORANOOK, Lot 1 TP745347,/Victoria/Parwan to Melton Pipeline, VIC",Decision on approval of action: Approved with conditions,04/05/2021,Yes,No,Success,20188260_04052021_wrwc_doaoaawc,Yes
2021/8917,"Western Australian Land Authority/Commercial Development/Pederick Road, Neerabup/Western Australia/Neerabup Industrial Area, WA",Decision on Assessment Approach: Preliminary Documentation,04/05/2021,Yes,No,Success,20218917_04052021_wala_doaapd,Yes
2021/8923,"ROBE RIVER MINING CO. PTY. LTD/Mining/Great Northern Highway, Newman/Western Australia/Iron ore mine expansion, West Angelas Revised Project",Invitation for Public Comment on Referral,03/05/2021,Yes,No,Success,20218923_03052021_rrmcpl_ifpcor,Yes
2021/8901,"Hanwha Energy Australia Pty Ltd/Energy Generation and Supply (renewable)/Urana and Walla Walla Jindera Rd, Jindera/New South Wales/Jindera Solar Farm, NSW",Invitation for Public Comment on Referral,03/05/2021,Yes,No,Success,20218901_03052021_heapl_ifpcor,Yes
2018/8368,"RES AUSTRALIA PTY LTD/Energy Generation and Supply (renewable)/Warrego Highway 7km east of the township of Dulacca, Queensland/Queensland/Dulacca Renewable Energy Project, Dulacca QLD",Notification of Transfer of Approval to Dulacca Energy Project Co Pty Ltd,03/05/2021,Yes,No,Success,20188368_03052021_rapl_notoatdepcpl,Yes
